,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,100,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4
1,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,88,0.904,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,4
2,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,99,0.514,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
3,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020-04-29,242000,91,0.822,0.016,0.822,0.743,0.0,0.127,-4.772,0.28,84.459,4
4,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-09-13,176218,85,0.784,0.0149,0.784,0.721,0.00424,0.285,-5.457,0.0506,121.966,4
5,Say So (feat. Nicki Minaj),Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,206220,86,0.856,0.119,0.856,0.641,4.97e-06,0.427,-4.64,0.204,111.004,4
6,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,87,0.806,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4
7,Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,174000,84,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4
8,Blueberry Faygo,Blueberry Faygo,Lil Mosey,2020-02-07,162546,91,0.774,0.207,0.774,0.554,0.0,0.132,-7.909,0.0383,99.034,4
9,We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-05-01,181929,51,0.93,0.125,0.93,0.522,0.0,0.0844,-5.35,0.341,135.116,4
10,Adore You,Adore You,Harry Styles,2019-12-06,207133,83,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
11,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,182200,93,0.672,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4
12,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,91,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
13,The Bigger Picture,The Bigger Picture,Lil Baby,2020-06-12,252728,86,0.59,0.0127,0.59,0.618,0.0,0.244,-5.756,0.334,96.459,3
14,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,91,0.794,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,4
15,The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,93,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4
16,The Bones,GIRL,Maren Morris,2019-03-08,197293,68,0.612,0.279,0.612,0.57,0.0,0.0963,-6.642,0.0347,77.004,4
17,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,88,0.676,0.0706,0.676,0.609,0.0,0.152,-5.831,0.481,142.037,4
18,Falling,Falling,Trevor Daniel,2018-10-05,159381,90,0.784,0.123,0.784,0.43,0.0,0.0887,-8.756,0.0364,127.087,4
19,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,89,0.73,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0883,113.013,4
20,I Hope,I Hope,Gabby Barrett,2019-01-25,209228,75,0.561,0.0951,0.561,0.536,0.0,0.114,-6.227,0.0346,150.01,4
21,One Margarita,One Margarita,Luke Bryan,2020-03-13,193426,78,0.641,0.0969,0.641,0.842,0.0,0.169,-4.872,0.0464,89.997,4
